,plsnt,attnt,snst,aptit,polarity_intense
🌋,0.0,-0.03,-0.1,-0.07,-0.047
😁,0.677,0.029500000000000026,-0.12,0.515,0.367
🏄,0.921,0.884,0.0,0.0,0.602
👴🏼,0.05024999999999999,0.2055,-0.19475,-0.0325,0.009
👩🏾,0.5243333333333333,0.48900000000000005,-0.073,0.07833333333333332,0.34
🙅🏼,0.6206666666666667,0.5686666666666667,0.007,-0.02,0.387
🏮,0.01433333333333333,0.017,0.03766666666666667,0.014666666666666666,0.003
😄,0.719,-0.58,0.0,0.739,0.679
🎣,0.4595,0.4125,0.0,0.0245,0.299
🍛,0.3505,0.0415,0.0,0.0,0.131
📎,0.0,0.0,0.0,0.082,0.027
⛄️,-0.8,0.0,-0.8,-0.96,-0.853
🚛,0.028,0.0,0.013,0.061,0.025
🚅,0.3905,-0.36,-0.395,-0.1915,0.055
🖕,0.42000000000000004,0.5559999999999999,0.0,0.0995,0.358
🐪,0.744,0.761,0.0,0.0,0.502
🚁,0.627,0.61,-0.24,0.234,0.41
📛,0.844,-0.57,0.0,0.576,0.663
😅,0.834,0.07350000000000001,0.0,0.3695,0.426
🅱️,0.743,0.929,0.0,0.0,0.557
🈚,0.637,0.7697499999999999,-0.05,0.267,0.541
👴,-0.37,0.0,-0.4,-0.035,-0.268
🏠,0.868,0.772,0.0,0.0,0.547
🗝,0.10149999999999998,-0.39,-0.4,0.2855,0.126
💽,0.0,0.0,0.353,-0.45499999999999996,-0.269
🎹,0.4575,0.4895,0.0,0.0545,0.334
😈,0.719,-0.58,0.0,0.739,0.679
📰,-0.05,0.106,0.0,0.06,0.039
🍻,0.942,-0.99,0.0,0.0,0.644
😉,0.719,-0.58,0.0,0.739,0.679
💍,0.052,0.0,0.0,0.118,0.057
🚶,0.921,0.884,0.0,0.0,0.602
🙇🏽,0.516,0.1698,0.004200000000000001,0.15739999999999998,0.28
🐞,0.0,0.387,0.04,0.34450000000000003,0.23
🍲,0.3166666666666667,0.30633333333333335,0.0,0.022333333333333334,0.215
🍉,-0.98,0.0,-0.81,0.0,-0.597
🐲,-0.015500000000000014,-0.29,0.354,0.3695,0.097
👤,-0.24399999999999997,0.0955,0.426,-0.271,-0.282
😞,-0.0605,-0.29,0.449,0.3695,0.05
🎶,0.022,-0.025,0.0395,-0.0005000000000000004,0.002
👄,0.823,-0.97,0.0,0.0,0.598
🌆,0.379,0.414,-0.02,0.0,0.258
🚀,-0.02,-0.02,0.0,-0.12,-0.04
👱🏿,0.2284,0.3412,0.015399999999999988,-0.158,0.132
🍼,-0.435,-0.395,0.3645,-0.015500000000000014,-0.14
🏞,0.0335,0.061,-0.04,0.122,0.059
〽️,0.95,0.796,0.0,0.0,0.582
🐍,-0.68,0.0,0.611,-0.59,-0.627
📦,0.808,-0.89,0.0,0.0,0.566
♿️,-0.04,0.0,-0.08,-0.07,-0.063
🌃,-0.7,0.0,-0.74,0.0,-0.48
🎬,0.819,0.791,0.0,0.0,0.537
😷,0.5856666666666667,0.11766666666666668,0.014333333333333332,0.268,0.319
👒,0.08,0.106,-0.04,0.112,0.086
📲,0.068,0.021,0.009,0.11299999999999999,0.064
🔥,0.038,0.0,-0.07,-0.06,-0.031
🐡,-0.54,0.0,0.829,-0.72,-0.696
🎢,-0.015,0.0185,0.0545,0.010499999999999995,-0.014
🐨,0.81,0.958,0.0,0.0,0.589
📆,0.0,0.0,0.063,-0.03,-0.031
⭕,-0.26266666666666666,0.418,-0.137,0.057333333333333326,0.025
🚖,0.0,0.935,0.0,0.0,0.312
🏉,0.393,0.38999999999999996,0.0025,0.0,0.26
😓,0.296,0.1376666666666667,-0.15,0.22966666666666666,0.171
🏜,-0.84,0.0,0.777,-0.9,-0.839
🌿,0.062,0.115,0.0,0.0,0.059
🏨,-0.07,0.0,0.009,-0.12,-0.066
🎏,0.176,-0.12,-0.12,0.182,0.119
🌖,0.916,-0.94,0.0,0.0,0.619
🚽,0.036,-0.06,0.0,0.0,0.032
👐,-0.04,0.12,-0.04,0.128,0.056
🐇,0.0,0.0,-0.07,0.0,-0.023
🎲,-0.65,-0.015,0.20850000000000002,-0.5449999999999999,-0.463
🐢,-0.2,-0.1,0.07,-0.24,-0.137
😸,0.3735,-0.29,0.0065,0.4,0.352
🗃,0.31766666666666665,-0.271,0.0,0.03966666666666666,0.209
🕵,0.0,0.114,0.0,0.083,0.066
🍱,0.0,-0.02,0.0,0.051,0.024
🐉,-0.75,0.0,0.708,0.0,-0.486
😺,0.3735,-0.29,0.0065,0.4,0.352
😫,0.737,-0.77,0.0,0.3695,0.626
🌭,0.375,-0.44,-0.465,0.10949999999999999,0.153
🍧,-0.93,0.0,0.0,-0.82,-0.583
🍝,0.763,0.9,0.0,0.0,0.554
🙍,0.921,0.884,0.0,0.0,0.602
🙉,0.786,0.749,0.0,0.0,0.512
🕷,0.0,-0.06,0.097,-0.08,-0.039
🖼,0.034,0.075,0.0,0.143,0.084
😨,0.3595,-0.29,-0.425,0.3695,0.198
💻,0.3575,0.421,0.0,0.035,0.271
🔈,-0.237,0.11433333333333334,-0.13,0.08,-0.058
💸,0.0,0.871,0.0,0.861,0.577
🏊,0.4605,0.442,-0.025,-0.035,0.281
🍶,0.0,0.822,0.0,0.847,0.556
🚢,-0.09,0.192,-0.08,0.106,0.043
🏁,0.053,0.068,-0.05,0.06,0.044
🚶🏿,0.2855,0.4265,-0.21725,-0.015,0.16
🙇,0.8,-0.02799999999999997,0.0,0.3305,0.386
🐏,-0.92,0.0,-0.73,-0.99,-0.88
👊🏼,0.2936666666666667,0.29666666666666663,-0.019666666666666666,-0.043333333333333335,0.176
😤,0.282,-0.16633333333333333,0.007666666666666666,0.294,0.245
🐷,-0.0005000000000000004,-0.29,-0.41,0.3695,0.083
💰,0.0,0.4255,0.0,0.456,0.294
👆🏿,0.19533333333333333,0.30633333333333335,-0.004000000000000006,-0.154,0.115
↪️,0.471,-0.295,0.0,0.29100000000000004,0.352
👕,0.041,0.119,0.017,0.0,0.048
🔎,0.4805,0.49250000000000005,0.0125,0.4875,0.483
🏏,-0.121,0.415,0.3385,-0.475,-0.173
🤵,0.041,0.0955,0.0,0.064,0.067
💃🏽,0.4391999999999999,0.15399999999999997,-0.0438,0.19339999999999996,0.248
👉🏼,0.3952,0.37039999999999995,0.1732,-0.004599999999999993,0.196
💙,-0.1005,0.20550000000000002,-0.22,0.0715,-0.014
😗,0.719,-0.58,0.0,0.739,0.679
🚍,-0.06,0.122,-0.04,0.113,0.045
🛐,0.405,0.5573333333333333,-0.062,0.17366666666666666,0.358
👌,0.883,-0.59,0.0,0.533,0.669
🚩,0.053,0.014000000000000002,-0.0105,0.0645,0.04
🥄,0.03,-0.05,0.0,0.059,0.046
🎋,0.856,0.0,0.0,0.0,0.285
